A0A072TUE5	MTR_0036s0310
A0A072TIX6	MTR_0036s0320
G7L7Q0	MTR_0037s0010
A0A072TIV5	MTR_0037s0020
A0A072TIB7	MTR_0037s0030
A0A072TJT5	MTR_0037s0060
A0A072THY0	MTR_0037s0160
A0A072TUC2	MTR_0037s0250
A0A072TIA9	MTR_0038s0010
A0A072TJS8	MTR_0038s0030
A0A072THV9	MTR_0038s0040
A0A072TUB2	MTR_0038s0050
A0A072TIV3	MTR_0038s0060
A0A072TIB4	MTR_0038s0070
G7KJS0	MTR_0038s0080
A0A072THX0	MTR_0038s0110
A0A072TIU9	MTR_0039s0040
A0A072TI94	MTR_0039s0050
A0A072TJS5	MTR_0039s0060
A0A072THV4	MTR_0039s0080
A0A072TUA5	MTR_0039s0090
A0A072TIV2	MTR_0039s0180
A0A072TIU7	MTR_0040s0040
A0A072TI84	MTR_0040s0060
A0A072TJS0	MTR_0040s0110
I3SE17	MTR_0040s0140
A0A072TU99	MTR_0040s0150
B3GN62	MTR_0041s0030
A0A072TU94	MTR_0040s0030
A0A072TI78	MTR_0041s0050
A0A072TJP9	MTR_0041s0060
A0A072THT8	MTR_0041s0080
A0A072TU87	MTR_0041s0100
Q2HV56	MTR_0041s0110
A0A072TI81	MTR_0041s0120
A0A072TJQ8	MTR_0041s0130
A0A072THU3	MTR_0041s0140
A0A072TIS4	MTR_0042s0030
A0A072TI65	MTR_0042s0040
A0A072TJP3	MTR_0042s0070
A0A072THS3	MTR_0042s0100
A0A072TU78	MTR_0042s0120
A0A072TIS8	MTR_0042s0130
A0A072TI67	MTR_0042s0170
A0A072TJP6	MTR_0042s0190
A0A072TU82	MTR_0042s0230
A0A072TJN7	MTR_0043s0040
A0A072TI59	MTR_0043s0030
A0A072THR8	MTR_0043s0050
A0A072TU69	MTR_0043s0060
A0A072TIR9	MTR_0043s0080
A0A072THS1	MTR_0043s0110
A0A072TU74	MTR_0043s0140
A0A072THQ8	MTR_0044s0040
G7ZUP5	MTR_0044s0050
A0A072TIP7	MTR_0044s0090
G7ZUP9	MTR_0044s0120
G7ZUQ0	MTR_0044s0130
G7ZUQ2	MTR_0044s0150
G7ZUQ3	MTR_0044s0160
A0A072TIQ7	MTR_0044s0180
G7ZUQ5	MTR_0044s0190
G7ZUR0	MTR_0044s0250
G7ZUR2	MTR_0044s0290
A0A072TU65	MTR_0044s0300
A0A072TIQ9	MTR_0044s0310
A0A072TJL3	MTR_0045s0010
A0A072THQ4	MTR_0045s0060
A0A072TIN8	MTR_0045s0070
A0A072TJL8	MTR_0045s0080
A0A072THQ7	MTR_0045s0100
A0A072TU53	MTR_0045s0110
A0A072TIP3	MTR_0045s0120
A0A072TI45	MTR_0045s0130
A0A072TJM0	MTR_0045s0160
A0A072TIN0	MTR_0046s0040
A0A072TI34	MTR_0046s0060
A0A072TJL1	MTR_0046s0080
