V7CVQ1	PHAVU_001G062300g
V7CWQ7	PHAVU_001G062400g
V7CT39	PHAVU_001G062500g
V7CVE5	PHAVU_001G062600g
V7CT99	PHAVU_001G062700g
V7CWR1	PHAVU_001G062800g
V7CT44	PHAVU_001G062900g
V7CVE9	PHAVU_001G063000g
V7CVR0	PHAVU_001G063100g
V7CT48	PHAVU_001G063200g
V7CVR6	PHAVU_001G063300g
V7CWS0	PHAVU_001G063400g
V7CVG0	PHAVU_001G0635000
V7CWS4	PHAVU_001G063800g
V7CT53	PHAVU_001G0635001
V7CTB2	PHAVU_001G063600g
V7CVS1	PHAVU_001G063700g
V7CVG5	PHAVU_001G0639000
V7CT58	PHAVU_001G0639001
V7CTB5	PHAVU_001G064000g
V7CVS5	PHAVU_001G064100g
V7CWS9	PHAVU_001G064200g
T2DNB6	PHAVU_001G064300g
V7CVG9	PHAVU_001G064400g
V7CWT2	PHAVU_001G064500g
V7CT69	PHAVU_001G064600g
V7CVH4	PHAVU_001G064700g
V7CTC1	PHAVU_001G064800g
V7CVT6	PHAVU_001G064900g
V7CWT7	PHAVU_001G065000g
V7CT74	PHAVU_001G065100g
V7CVH7	PHAVU_001G065200g
V7CTC5	PHAVU_001G065300g
V7CVU0	PHAVU_001G065400g
V7CWU0	PHAVU_001G065500g
V7CWU4	PHAVU_001G0656000
V7CVU5	PHAVU_001G0656001
V7CT82	PHAVU_001G065700g
V7CVI9	PHAVU_001G065800g
V7CTD5	PHAVU_001G065900g
V7CVV1	PHAVU_001G066000g
V7CWV1	PHAVU_001G066100g
V7CT87	PHAVU_001G066200g
V7CVJ2	PHAVU_001G066300g
V7CTD8	PHAVU_001G066400g
V7CVV8	PHAVU_001G066500g
V7CWV5	PHAVU_001G066600g
V7CT92	PHAVU_001G066700g
V7CTE2	PHAVU_001G066800g
V7CVJ7	PHAVU_001G066900g
V7CVW1	PHAVU_001G067000g
V7CWW0	PHAVU_001G067100g
V7CT98	PHAVU_001G067200g
T2DLR9	PHAVU_001G067300g
V7CTE7	PHAVU_001G067400g
V7CWW7	PHAVU_001G067500g
V7CVK4	PHAVU_001G067600g
V7CVX3	PHAVU_001G067700g
V7CWX3	PHAVU_001G067800g
V7CTA5	PHAVU_001G067900g
V7CTF7	PHAVU_001G0680000
V7CVK8	PHAVU_001G0680001
V7CVX8	PHAVU_001G068100g
V7CTA8	PHAVU_001G068200g
V7CVL5	PHAVU_001G068300g
V7CTG1	PHAVU_001G068400g
V7CVY3	PHAVU_001G068500g
V7CWY2	PHAVU_001G068600g
V7CTB6	PHAVU_001G068700g
V7CVM0	PHAVU_001G068800g
V7CTG6	PHAVU_001G068900g
V7CVY7	PHAVU_001G069000g
V7CWY7	PHAVU_001G069100g
V7CTB9	PHAVU_001G069200g
V7CVM7	PHAVU_001G069300g
V7CTH0	PHAVU_001G069400g
V7CVZ5	PHAVU_001G069500g
V7CWZ5	PHAVU_001G069600g
V7CTC3	PHAVU_001G069700g
V7CVN3	PHAVU_001G069800g
V7CTH5	PHAVU_001G069900g
V7CW00	PHAVU_001G070000g
V7CWZ8	PHAVU_001G070100g
V7CTC7	PHAVU_001G070200g
V7CVN9	PHAVU_001G070300g
V7CTI0	PHAVU_001G070400g
V7CW03	PHAVU_001G070500g
V7CX03	PHAVU_001G070600g
V7CTI6	PHAVU_001G070700g
V7CW08	PHAVU_001G070800g
V7CX08	PHAVU_001G070900g
V7CTD6	PHAVU_001G071000g
V7CVQ0	PHAVU_001G071100g
V7CTJ0	PHAVU_001G071200g
V7CW14	PHAVU_001G071300g
V7CX11	PHAVU_001G071400g
V7CTE1	PHAVU_001G071500g
V7CVQ8	PHAVU_001G071600g
V7CTJ5	PHAVU_001G071700g
V7CW21	PHAVU_001G071800g
V7CX16	PHAVU_001G071900g
V7CTE5	PHAVU_001G072000g
V7CVR3	PHAVU_001G072100g
V7CTK0	PHAVU_001G072200g
