geneID	Description	Pathway	Pathway_map
420815	NFATC1; nuclear factor of activated T-cells, cytoplasmic 1 isoform X9	C-type lectin receptor signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04625/image
420815	NFATC1; nuclear factor of activated T-cells, cytoplasmic 1 isoform X9	AGE-RAGE signaling pathway in diabetic complications - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04933/image
420813	CTDP1; RNA polymerase II subunit A C-terminal domain phosphatase	-	-
420812	HSBP1L1; heat shock factor-binding protein 1-like protein 1	-	-
101747902	TTC24; tetratricopeptide repeat protein 24 isoform X1	-	-
107056600	nucleoporin NUP35 isoform X1	RNA transport - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga03013/image
422419	NPY5R; neuropeptide Y receptor type 5	Neuroactive ligand-receptor interaction - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04080/image
422418	RAPGEF2; rap guanine nucleotide exchange factor 2 isoform X2	MAPK signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04010/image
422418	RAPGEF2; rap guanine nucleotide exchange factor 2 isoform X2	Tight junction - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04530/image
422411	GLRB; glycine receptor subunit beta isoform X2	Neuroactive ligand-receptor interaction - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04080/image
422410	CTSO; cathepsin O precursor	Lysosome - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04142/image
422410	CTSO; cathepsin O precursor	Apoptosis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04210/image
422413	FAM198B; protein FAM198B	-	-
422415	RXFP1; relaxin receptor 1 isoform X2	Neuroactive ligand-receptor interaction - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04080/image
422414	TMEM144; transmembrane protein 144	-	-
422417	FNIP2; folliculin-interacting protein 2 isoform X6	mTOR signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04150/image
107053389	uncharacterized LOC107053389, transcript variant X1	-	-
107053384	uncharacterized LOC107053384	-	-
107053386	uncharacterized LOC107053386	-	-
107053380	uncharacterized LOC107053380	-	-
107053383	uncharacterized LOC107053383, transcript variant X1	-	-
101749811	uncharacterized LOC101749811, transcript variant X1	-	-
772006	FOXE3; forkhead box protein E3	-	-
769808	TMEM8B; transmembrane protein 8B isoform X1	-	-
769809	HIST1H3G; histone H3	-	-
769803	RNF26; E3 ubiquitin-protein ligase RNF26	-	-
107057261	uncharacterized LOC107057261, transcript variant X1	-	-
tRNA-Arg	tRNA-Arg	Aminoacyl-tRNA biosynthesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00970/image
107057264	uncharacterized protein LOC107057264	-	-
101749148	uncharacterized LOC101749148, transcript variant X1	-	-
101749149	uncharacterized LOC101749149, transcript variant X1	-	-
101749142	FAU; ubiquitin-like protein fubi and ribosomal protein S30 isoform X1	Ribosome - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga03010/image
101749146	uncharacterized LOC101749146	-	-
101749147	uncharacterized LOC101749147	-	-
101749145	uncharacterized LOC101749145	-	-
107050127	uncharacterized protein LOC107050127	-	-
107050120	uncharacterized LOC107050120	-	-
107050128	uncharacterized LOC107050128	-	-
107051838	uncharacterized LOC107051838, transcript variant X1	-	-
107051839	uncharacterized LOC107051839	-	-
107051833	uncharacterized LOC107051833, transcript variant X1	-	-
107051834	uncharacterized LOC107051834	-	-
107051836	uncharacterized LOC107051836	-	-
107051837	uncharacterized LOC107051837, transcript variant X1	-	-
112530768	uncharacterized protein LOC112530768 isoform X1	-	-
112530769	PHD finger protein 7-like isoform X1	-	-
771294	CDK7; cyclin-dependent kinase 7	Basal transcription factors - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga03022/image
771294	CDK7; cyclin-dependent kinase 7	Nucleotide excision repair - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga03420/image
771294	CDK7; cyclin-dependent kinase 7	Cell cycle - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04110/image
112530760	uncharacterized LOC112530760	-	-
112530761	uncharacterized LOC112530761	-	-
112530762	uncharacterized LOC112530762, transcript variant X1	-	-
112530763	uncharacterized LOC112530763	-	-
112530764	uncharacterized LOC112530764	-	-
112530765	uncharacterized LOC112530765	-	-
112530766	uncharacterized LOC112530766	-	-
112530767	PHD finger protein 7-like isoform X1	-	-
100859007	ARHGAP36; rho GTPase-activating protein 6 isoform X3	-	-
100859008	RASSF10; ras association domain-containing protein 10	-	-
112533156	uncharacterized LOC112533156	-	-
112533157	uncharacterized LOC112533157	-	-
112533154	uncharacterized LOC112533154	-	-
112533155	uncharacterized LOC112533155	-	-
112533152	uncharacterized LOC112533152	-	-
112533153	uncharacterized LOC112533153	-	-
112533150	uncharacterized LOC112533150	-	-
112533151	uncharacterized LOC112533151	-	-
112533158	uncharacterized LOC112533158	-	-
