geneID	Description	Pathway	Pathway_map
4340140	cysteine synthase-like	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4340140	cysteine synthase-like	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01110/image
4340140	cysteine synthase-like	Carbon metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01200/image
4340140	cysteine synthase-like	Biosynthesis of amino acids - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01230/image
4340145	uncharacterized protein LOC4340145	-	-
107281269	acyl-coenzyme A oxidase 4, peroxisomal-like	-	-
107280799	putative beta-glucosidase 15	-	-
107280798	uncharacterized LOC107280798	-	-
107280795	uncharacterized protein LOC107280795	-	-
107280797	uncharacterized protein LOC107280797	-	-
107280796	uncharacterized protein LOC107280796 isoform X1	-	-
107280791	G-type lectin S-receptor-like serine/threonine-protein kinase At2g19130	-	-
107280790	probable serine/threonine-protein kinase At1g18390	-	-
107280793	uncharacterized LOC107280793	-	-
4348279	uncharacterized protein LOC4348279 isoform X1	-	-
9268406	uncharacterized LOC9268406, transcript variant X1	-	-
107281151	uncharacterized protein LOC107281151 isoform X1	-	-
9268405	AT-hook motif nuclear-localized protein 28	-	-
107281154	uncharacterized LOC107281154	-	-
4340014	uncharacterized protein LOC4340014	-	-
4340017	uncharacterized protein LOC4340017 isoform X1	-	-
9268401	uncharacterized LOC9268401, transcript variant X1	-	-
4340019	uncharacterized LOC4340019	-	-
107281159	uncharacterized LOC107281159	-	-
107280139	uncharacterized LOC107280139	-	-
107280138	uncharacterized LOC107280138	-	-
107280131	uncharacterized LOC107280131	-	-
107280130	uncharacterized LOC107280130, transcript variant X1	-	-
107280133	uncharacterized LOC107280133	-	-
107280132	uncharacterized LOC107280132	-	-
107280135	uncharacterized LOC107280135	-	-
107280136	uncharacterized protein LOC107280136 isoform X1	-	-
4342984	zinc finger protein VAR3, chloroplastic	-	-
9269206	short-chain dehydrogenase TIC 32, chloroplastic isoform X1	-	-
9269205	uncharacterized LOC9269205, transcript variant X1	-	-
9269204	disease resistance protein RGA2	-	-
9269203	ribonuclease Z, chloroplastic	RNA transport - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa03013/image
9269202	uncharacterized protein LOC9269202	-	-
9269201	phosphatidylinositol 4-phosphate 5-kinase 4	-	-
