geneID	Description	Pathway	Pathway_map
100821419	putative disease resistance protein RGA3	-	-
100821416	U-box domain-containing protein 73 isoform X1	-	-
100821414	uncharacterized protein LOC100821414	-	-
100821415	exocyst complex component EXO70A1	-	-
100821412	LOW QUALITY PROTEIN: 5-epiaristolochene 1,3-dihydroxylase	-	-
100821413	uncharacterized LOC100821413, transcript variant X1	-	-
100821410	probable pectin methyltransferase QUA2	-	-
100821411	citrate synthase 4, mitochondrial	Citrate cycle (TCA cycle) - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00020/image
100821411	citrate synthase 4, mitochondrial	Glyoxylate and dicarboxylate metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00630/image
100821411	citrate synthase 4, mitochondrial	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100821411	citrate synthase 4, mitochondrial	Biosynthesis of secondary metabolites - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01110/image
100821411	citrate synthase 4, mitochondrial	Carbon metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01200/image
100821411	citrate synthase 4, mitochondrial	2-Oxocarboxylic acid metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01210/image
100821411	citrate synthase 4, mitochondrial	Biosynthesis of amino acids - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01230/image
100829643	cysteine desulfurase 1, chloroplastic	Selenocompound metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00450/image
100829643	cysteine desulfurase 1, chloroplastic	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100829642	protein tesmin/TSO1-like CXC 2 isoform X1	-	-
100829640	beta-glucuronosyltransferase GlcAT14B	-	-
100829647	uncharacterized protein LOC100829647 isoform X2	-	-
100829646	BEL1-like homeodomain protein 11	-	-
100829645	pentatricopeptide repeat-containing protein At5g14080	-	-
100829644	UDP-glycosyltransferase 83A1	-	-
112270042	uncharacterized LOC112270042	-	-
100823924	vacuolar protein sorting-associated protein 32 homolog 2	Endocytosis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi04144/image
100823925	bifunctional protein FolD 1, mitochondrial	-	-
100823926	uncharacterized protein LOC100823926	-	-
100823927	two-component response regulator-like PRR95 isoform X1	Circadian rhythm - plant - Brachypodium distachyon	http://rest.kegg.jp/get/bdi04712/image
100823920	pollen allergen Phl p 1	-	-
100823922	uncharacterized protein LOC100823922	-	-
112270044	uncharacterized LOC112270044	-	-
100823928	probable lysophospholipase BODYGUARD 4	-	-
112270045	uncharacterized protein LOC112270045	-	-
112270046	uncharacterized protein LOC112270046	-	-
112270047	uncharacterized LOC112270047	-	-
104581534	uncharacterized LOC104581534, transcript variant X1	-	-
104581535	uncharacterized protein LOC104581535	-	-
104581536	uncharacterized LOC104581536	-	-
104581537	uncharacterized protein LOC104581537	-	-
104581531	scarecrow-like protein 9	-	-
104581532	uncharacterized LOC104581532	-	-
104581533	tetraspanin-2	-	-
104581538	uncharacterized LOC104581538	-	-
100842420	protein BZR1 homolog 1	Plant hormone signal transduction - Brachypodium distachyon	http://rest.kegg.jp/get/bdi04075/image
100842421	GTP-binding protein YPTM2	-	-
100842422	U-box domain-containing protein 15	-	-
100842423	adenine nucleotide transporter BT1, chloroplastic/mitochondrial	-	-
100842424	probable inositol oxygenase	Ascorbate and aldarate metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00053/image
100842424	probable inositol oxygenase	Inositol phosphate metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00562/image
100842425	TBC1 domain family member 15	-	-
100842426	1-aminocyclopropane-1-carboxylate oxidase homolog 4	-	-
100842427	epsin-3	-	-
100842428	uncharacterized protein LOC100842428	-	-
104581396	uncharacterized protein LOC104581396	-	-
100846510	uncharacterized protein LOC100846510	-	-
100846449	uncharacterized LOC100846449, transcript variant X1	-	-
100846514	probable protein phosphatase 2C 71 isoform X2	-	-
112271969	uncharacterized LOC112271969	-	-
100846516	protein DETOXIFICATION 49	-	-
100846517	uncharacterized protein LOC100846517	-	-
100846518	RING-H2 finger protein ATL74	-	-
100846519	protein trichome birefringence-like 14 isoform X3	-	-
112271966	uncharacterized protein LOC112271966	-	-
112271967	uncharacterized LOC112271967	-	-
112271960	uncharacterized LOC112271960	-	-
112271961	uncharacterized LOC112271961	-	-
112271962	protein FAR1-RELATED SEQUENCE 1-like	-	-
112271963	uncharacterized protein LOC112271963	-	-
100827979	callose synthase 12	-	-
100827978	uncharacterized protein LOC100827978	-	-
100827973	uncharacterized protein LOC100827973	-	-
100827972	uncharacterized protein LOC100827972	-	-
100827970	non-specific phospholipase C6	Inositol phosphate metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00562/image
100827970	non-specific phospholipase C6	Glycerophospholipid metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00564/image
100827970	non-specific phospholipase C6	Ether lipid metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00565/image
