geneID	Description	Pathway	Pathway_map
Dmel_CG9918	PK1-R; pyrokinin 1 receptor, isoform D	Neuroactive ligand-receptor interaction - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04080/image
Dmel_CR43586	scaRNA:MeU2-48; small cajal body-specific RNA : MeU2-48	-	-
Dmel_CG8354	E(spl)m6-BFM; enhancer of split m6, bearded family member	-	-
Dmel_CG7456	CG7456; uncharacterized protein	-	-
Dmel_CG8357	Drep1; DNA fragmentation factor-related protein 1, isoform B	-	-
Dmel_CG8351	CCT7; chaperonin containing TCP1 subunit 7	-	-
Dmel_CG1882	CG1882; uncharacterized protein, isoform E	-	-
Dmel_CG40080	Haspin; haspin	-	-
Dmel_CG8358	CG8358; uncharacterized protein	-	-
Dmel_CG8359	hng2; hinge2	-	-
Dmel_CG5096	CG5096; uncharacterized protein	-	-
Dmel_CG7942	ldbr; lariat debranching enzyme	-	-
Dmel_CG10975	Ptp69D; protein tyrosine phosphatase 69D, isoform A	-	-
Dmel_CG7452	Syx17; syntaxin 17, isoform B	SNARE interactions in vesicular transport - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04130/image
Dmel_CG7452	Syx17; syntaxin 17, isoform B	Autophagy - animal - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04140/image
Dmel_CG12020	CG12020; uncharacterized protein	-	-
Dmel_CG1886	ATP7; ATP7, isoform C	-	-
Dmel_CG5002	CG5002; uncharacterized protein	-	-
Dmel_CG7450	CrebA; Cyclic-AMP response element binding protein A, isoform A	-	-
Dmel_CG10489	DNApol-epsilon58; DNA polymerase epsilon 58kD subunit	Purine metabolism - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00230/image
Dmel_CG10489	DNApol-epsilon58; DNA polymerase epsilon 58kD subunit	Pyrimidine metabolism - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00240/image
Dmel_CG10489	DNApol-epsilon58; DNA polymerase epsilon 58kD subunit	Metabolic pathways - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme01100/image
Dmel_CG10489	DNApol-epsilon58; DNA polymerase epsilon 58kD subunit	DNA replication - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme03030/image
